 series id, year,period,monthly average
 LAUST510000000000003,2018.0,M12,2.8           
 LAUST510000000000003,2018.0,M11,2.7          
 LAUST510000000000003,2018.0,M10,2.8           
 LAUST510000000000003,2018.0,M09,2.8           
 LAUST510000000000003,2018.0,M08,3.2           
 LAUST510000000000003,2018.0,M07,3.1           
 LAUST510000000000003,2018.0,M06,3.3           
 LAUST510000000000003,2018.0,M05,2.8           
 LAUST510000000000003,2018.0,M04,2.8           
 LAUST510000000000003,2018.0,M03,3.2           
 LAUST510000000000003,2018.0,M02,3.4           
 LAUST510000000000003,2018.0,M01,3.6           
 LAUST510000000000003,2017.0,M12,3.1           
 LAUST510000000000003,2017.0,M11,3.3           
 LAUST510000000000003,2017.0,M10,3.3           
 LAUST510000000000003,2017.0,M09,3.5           
 LAUST510000000000003,2017.0,M08,3.9           
 LAUST510000000000003,2017.0,M07,3.8           
 LAUST510000000000003,2017.0,M06,3.8           
 LAUST510000000000003,2017.0,M05,3.7           
 LAUST510000000000003,2017.0,M04,3.5           
 LAUST510000000000003,2017.0,M03,3.9           
 LAUST510000000000003,2017.0,M02,4.2           
 LAUST510000000000003,2017.0,M01,4.4           
 LAUST510000000000003,2016.0,M12,3.8           
 LAUST510000000000003,2016.0,M11,3.9           
 LAUST510000000000003,2016.0,M10,4.0           
 LAUST510000000000003,2016.0,M09,4.2           
 LAUST510000000000003,2016.0,M08,4.4           
 LAUST510000000000003,2016.0,M07,4.3           
 LAUST510000000000003,2016.0,M06,4.3           
 LAUST510000000000003,2016.0,M05,3.9           
 LAUST510000000000003,2016.0,M04,3.7           
 LAUST510000000000003,2016.0,M03,4.1           
 LAUST510000000000003,2016.0,M02,4.2           
 LAUST510000000000003,2016.0,M01,4.3           
 LAUST510000000000003,2015.0,M12,3.8           
 LAUST510000000000003,2015.0,M11,3.9           
 LAUST510000000000003,2015.0,M10,4.0           
 LAUST510000000000003,2015.0,M09,4.1           
 LAUST510000000000003,2015.0,M08,4.4           
 LAUST510000000000003,2015.0,M07,4.5           
 LAUST510000000000003,2015.0,M06,4.6           
 LAUST510000000000003,2015.0,M05,4.7           
 LAUST510000000000003,2015.0,M04,4.3           
 LAUST510000000000003,2015.0,M03,4.8           
 LAUST510000000000003,2015.0,M02,5.0           
 LAUST510000000000003,2015.0,M01,5.2           
 LAUST510000000000003,2014.0,M12,4.6           
 LAUST510000000000003,2014.0,M11,4.8           
 LAUST510000000000003,2014.0,M10,4.8           
 LAUST510000000000003,2014.0,M09,5.1           
 LAUST510000000000003,2014.0,M08,5.5           
 LAUST510000000000003,2014.0,M07,5.5           
 LAUST510000000000003,2014.0,M06,5.4           
 LAUST510000000000003,2014.0,M05,5.3           
 LAUST510000000000003,2014.0,M04,4.8           
 LAUST510000000000003,2014.0,M03,5.6           
 LAUST510000000000003,2014.0,M02,5.7           
 LAUST510000000000003,2014.0,M01,5.7           
 LAUST510000000000003,2013.0,M12,5.1           
 LAUST510000000000003,2013.0,M11,5.3           
 LAUST510000000000003,2013.0,M10,5.7           
 LAUST510000000000003,2013.0,M09,5.6           
 LAUST510000000000003,2013.0,M08,5.8           
 LAUST510000000000003,2013.0,M07,5.9           
 LAUST510000000000003,2013.0,M06,6.0           
 LAUST510000000000003,2013.0,M05,5.7           
 LAUST510000000000003,2013.0,M04,5.3           
 LAUST510000000000003,2013.0,M03,5.7           
 LAUST510000000000003,2013.0,M02,6.1           
 LAUST510000000000003,2013.0,M01,6.4           
 LAUST510000000000003,2012.0,M12,5.6           
 LAUST510000000000003,2012.0,M11,5.4           
 LAUST510000000000003,2012.0,M10,5.6           
 LAUST510000000000003,2012.0,M09,5.8           
 LAUST510000000000003,2012.0,M08,6.2           
 LAUST510000000000003,2012.0,M07,6.4           
 LAUST510000000000003,2012.0,M06,6.4           
 LAUST510000000000003,2012.0,M05,6.0           
 LAUST510000000000003,2012.0,M04,5.6           
 LAUST510000000000003,2012.0,M03,6.2           
 LAUST510000000000003,2012.0,M02,6.6           
 LAUST510000000000003,2012.0,M01,6.6           
 LAUST510000000000003,2011.0,M12,6.2           
 LAUST510000000000003,2011.0,M11,6.1           
 LAUST510000000000003,2011.0,M10,6.4           
 LAUST510000000000003,2011.0,M09,6.7           
 LAUST510000000000003,2011.0,M08,6.9           
 LAUST510000000000003,2011.0,M07,6.7           
 LAUST510000000000003,2011.0,M06,6.9           
 LAUST510000000000003,2011.0,M05,6.4           
 LAUST510000000000003,2011.0,M04,6.2           
 LAUST510000000000003,2011.0,M03,6.6           
 LAUST510000000000003,2011.0,M02,6.9           
 LAUST510000000000003,2011.0,M01,7.1           
 LAUST510000000000003,2010.0,M12,6.7           
 LAUST510000000000003,2010.0,M11,6.7           
 LAUST510000000000003,2010.0,M10,6.6           
 LAUST510000000000003,2010.0,M09,6.8           
 LAUST510000000000003,2010.0,M08,7.1           
 LAUST510000000000003,2010.0,M07,7.1           
 LAUST510000000000003,2010.0,M06,7.2           
 LAUST510000000000003,2010.0,M05,7.1           
 LAUST510000000000003,2010.0,M04,7.0           
 LAUST510000000000003,2010.0,M03,7.7           
 LAUST510000000000003,2010.0,M02,7.9           
 LAUST510000000000003,2010.0,M01,7.9           
 LAUST510000000000003,2009.0,M12,7.2           
 LAUST510000000000003,2009.0,M11,6.8           
 LAUST510000000000003,2009.0,M10,6.8           
 LAUST510000000000003,2009.0,M09,6.9           
 LAUST510000000000003,2009.0,M08,6.9           
 LAUST510000000000003,2009.0,M07,6.8           
 LAUST510000000000003,2009.0,M06,7.0          
 LAUST510000000000003,2009.0,M05,6.7           
 LAUST510000000000003,2009.0,M04,6.2           
 LAUST510000000000003,2009.0,M03,6.6           
 LAUST510000000000003,2009.0,M02,6.4           
 LAUST510000000000003,2009.0,M01,6.1           
