      series id       , year , period , monthly average , footnotes 
,,,,
 LAUST510000000000003 ,2018,  M12   ,2.8,           
 LAUST510000000000003 ,2018,  M11   ,2.7,           
 LAUST510000000000003 ,2018,  M10   ,2.8,           
 LAUST510000000000003 ,2018,  M09   ,2.8,           
 LAUST510000000000003 ,2018,  M08   ,3.2,           
 LAUST510000000000003 ,2018,  M07   ,3.1,           
 LAUST510000000000003 ,2018,  M06   ,3.3,           
 LAUST510000000000003 ,2018,  M05   ,2.8,           
 LAUST510000000000003 ,2018,  M04   ,2.8,           
 LAUST510000000000003 ,2018,  M03   ,3.2,           
 LAUST510000000000003 ,2018,  M02   ,3.4,           
 LAUST510000000000003 ,2018,  M01   ,3.6,           
 LAUST510000000000003 ,2017,  M12   ,3.1,           
 LAUST510000000000003 ,2017,  M11   ,3.3,           
 LAUST510000000000003 ,2017,  M10   ,3.3,           
 LAUST510000000000003 ,2017,  M09   ,3.5,           
 LAUST510000000000003 ,2017,  M08   ,3.9,           
 LAUST510000000000003 ,2017,  M07   ,3.8,           
 LAUST510000000000003 ,2017,  M06   ,3.8,           
 LAUST510000000000003 ,2017,  M05   ,3.7,           
 LAUST510000000000003 ,2017,  M04   ,3.5,           
 LAUST510000000000003 ,2017,  M03   ,3.9,           
 LAUST510000000000003 ,2017,  M02   ,4.2,           
 LAUST510000000000003 ,2017,  M01   ,4.4,           
 LAUST510000000000003 ,2016,  M12   ,3.8,           
 LAUST510000000000003 ,2016,  M11   ,3.9,           
 LAUST510000000000003 ,2016,  M10   ,4,           
 LAUST510000000000003 ,2016,  M09   ,4.2,           
 LAUST510000000000003 ,2016,  M08   ,4.4,           
 LAUST510000000000003 ,2016,  M07   ,4.3,           
 LAUST510000000000003 ,2016,  M06   ,4.3,           
 LAUST510000000000003 ,2016,  M05   ,3.9,           
 LAUST510000000000003 ,2016,  M04   ,3.7,           
 LAUST510000000000003 ,2016,  M03   ,4.1,           
 LAUST510000000000003 ,2016,  M02   ,4.2,           
 LAUST510000000000003 ,2016,  M01   ,4.3,           
 LAUST510000000000003 ,2015,  M12   ,3.8,           
 LAUST510000000000003 ,2015,  M11   ,3.9,           
 LAUST510000000000003 ,2015,  M10   ,4,           
 LAUST510000000000003 ,2015,  M09   ,4.1,           
 LAUST510000000000003 ,2015,  M08   ,4.4,           
 LAUST510000000000003 ,2015,  M07   ,4.5,           
 LAUST510000000000003 ,2015,  M06   ,4.6,           
 LAUST510000000000003 ,2015,  M05   ,4.7,           
 LAUST510000000000003 ,2015,  M04   ,4.3,           
 LAUST510000000000003 ,2015,  M03   ,4.8,           
 LAUST510000000000003 ,2015,  M02   ,5,           
 LAUST510000000000003 ,2015,  M01   ,5.2,           
 LAUST510000000000003 ,2014,  M12   ,4.6,           
 LAUST510000000000003 ,2014,  M11   ,4.8,           
 LAUST510000000000003 ,2014,  M10   ,4.8,           
 LAUST510000000000003 ,2014,  M09   ,5.1,           
 LAUST510000000000003 ,2014,  M08   ,5.5,           
 LAUST510000000000003 ,2014,  M07   ,5.5,           
 LAUST510000000000003 ,2014,  M06   ,5.4,           
 LAUST510000000000003 ,2014,  M05   ,5.3,           
 LAUST510000000000003 ,2014,  M04   ,4.8,           
 LAUST510000000000003 ,2014,  M03   ,5.6,           
 LAUST510000000000003 ,2014,  M02   ,5.7,           
 LAUST510000000000003 ,2014,  M01   ,5.7,           
 LAUST510000000000003 ,2013,  M12   ,5.1,           
 LAUST510000000000003 ,2013,  M11   ,5.3,           
 LAUST510000000000003 ,2013,  M10   ,5.7,           
 LAUST510000000000003 ,2013,  M09   ,5.6,           
 LAUST510000000000003 ,2013,  M08   ,5.8,           
 LAUST510000000000003 ,2013,  M07   ,5.9,           
 LAUST510000000000003 ,2013,  M06   ,6,           
 LAUST510000000000003 ,2013,  M05   ,5.7,           
 LAUST510000000000003 ,2013,  M04   ,5.3,           
 LAUST510000000000003 ,2013,  M03   ,5.7,           
 LAUST510000000000003 ,2013,  M02   ,6.1,           
 LAUST510000000000003 ,2013,  M01   ,6.4,           
 LAUST510000000000003 ,2012,  M12   ,5.6,           
 LAUST510000000000003 ,2012,  M11   ,5.4,           
 LAUST510000000000003 ,2012,  M10   ,5.6,           
 LAUST510000000000003 ,2012,  M09   ,5.8,           
 LAUST510000000000003 ,2012,  M08   ,6.2,           
 LAUST510000000000003 ,2012,  M07   ,6.4,           
 LAUST510000000000003 ,2012,  M06   ,6.4,           
 LAUST510000000000003 ,2012,  M05   ,6,           
 LAUST510000000000003 ,2012,  M04   ,5.6,           
 LAUST510000000000003 ,2012,  M03   ,6.2,           
 LAUST510000000000003 ,2012,  M02   ,6.6,           
 LAUST510000000000003 ,2012,  M01   ,6.6,           
 LAUST510000000000003 ,2011,  M12   ,6.2,           
 LAUST510000000000003 ,2011,  M11   ,6.1,           
 LAUST510000000000003 ,2011,  M10   ,6.4,           
 LAUST510000000000003 ,2011,  M09   ,6.7,           
 LAUST510000000000003 ,2011,  M08   ,6.9,           
 LAUST510000000000003 ,2011,  M07   ,6.7,           
 LAUST510000000000003 ,2011,  M06   ,6.9,           
 LAUST510000000000003 ,2011,  M05   ,6.4,           
 LAUST510000000000003 ,2011,  M04   ,6.2,           
 LAUST510000000000003 ,2011,  M03   ,6.6,           
 LAUST510000000000003 ,2011,  M02   ,6.9,           
 LAUST510000000000003 ,2011,  M01   ,7.1,           
 LAUST510000000000003 ,2010,  M12   ,6.7,           
 LAUST510000000000003 ,2010,  M11   ,6.7,           
 LAUST510000000000003 ,2010,  M10   ,6.6,           
 LAUST510000000000003 ,2010,  M09   ,6.8,           
 LAUST510000000000003 ,2010,  M08   ,7.1,           
 LAUST510000000000003 ,2010,  M07   ,7.1,           
 LAUST510000000000003 ,2010,  M06   ,7.2,           
 LAUST510000000000003 ,2010,  M05   ,7.1,           
 LAUST510000000000003 ,2010,  M04   ,7,           
 LAUST510000000000003 ,2010,  M03   ,7.7,           
 LAUST510000000000003 ,2010,  M02   ,7.9,           
 LAUST510000000000003 ,2010,  M01   ,7.9,           
 LAUST510000000000003 ,2009,  M12   ,7.2,           
